message,location
Climate change is here for all to see. Because of my age it will not affect me personally but it will affect my grandchildren. I want to be able to tell them that I have done all that I can to make their lives more secure. We have to stop relying on fossil fuels that are increasing the level of CO2 in the atmosphere which is a major contributor to climate change,"[51, -2]"
I want my grandchildren to enjoy the same environment that I did growing up. Bushfires in Australia have been devastating and the science suggests things will only get worse. We live in a country town now but even when we were in the suburbs we were not safe. The 1983 Ash Wednesday fires came within one street of our house. We need to act NOW to mitigate the impact of climate change.,"[-35, 139]"
"We need to start changing our lives to reduce CO2 and methane in the atmosphere and all kinds of pollutants from the oceans. I mean everybody! Lloyds of London's part in this is to stop investing in businesses and industries that are creating these pollutants. Invest in green technologies and industries that are actually going to clean the planet, e.g. some companies have invented machinery that removes plastic from seas and some have invented machinery that extracts CO2 from the atmosphere and buries it deep underground. The first thing to do is to stop adding to the mess and you can help by stopping your investments and other help to companies that are causing it.  Thank you.  ","[54, -2]"
Humans are in grave danger . I want my grandchildren to thrive throughout long lives not face premature death,"[51, -3]"
How can you ignore the welfare of the planet and therefore your current and future loved ones? ,"[51, 1]"
"By insuring the disastrous Adani mine in Australia and the TransMountain pipeline in Canada, Lloyd's is not only opening up some of the greatest untouched fossil fuel reserves on the planet, it is also wrecking the lands of vulnerable Indigenous communities.","[51, -1]"
"Why should we be concerned about the world we leave to our grandchildren? After all, what have they ever done for us?","[-34, 151]"
"Dear Lloyds,  I am sure you are aware of your moral responsibility not to insure climate damaging activities. You might also consider your potential legal responsibility with likely legislative developments - making persistence in the status quo financially untenable.  Dr D Dewhurst","[52, 0]"
Please.  Fossil fuels will destroy the planet we all live on.  I want to live.,"[43, -81]"
"Time is running out, we need to rethink the way we treat the planet. Money is not going to buy our way out of this one.Nature has the answers, we don't !!!","[45, -64]"
"I love and cherish my grandchildren: I want to save them from climate chaos, and for them to live and enjoy the world we live in without danger and scarcity.  I love and cherish all of our planetary nature and creatures, from insects to elephants and precious human beings, trees plants waters and want a miraculous world to continue to thrive without danger and scarcity.","[52, -3]"
My children are young adults; I want them to have a future free from the worry of climate change and what it will mean for them. I cannot comprehend my girls bringing future grandchildren into such an uncertain world...and I know I'm not alone in this. YOUR children and grandchildren will be affected too! Please...stop supporting the fossil fuel industry. ,"[51, 0]"
"The climate crisis has to stop, you can stop it.","[51, -1]"
"I love and cherish nature and all of it’s myriad Laura and fauna. We are a PART OF nature, not APART FROM nature.   My friends in Thailand have been affected by the worst flooding they’ve ever experienced. The thought of the Earth being so ravaged and so many fellow humans being caught up in the chaos and danger of climate change plays on my mind every single day.","[53, -1]"
"I think Great Britain can be a game changer, by showing  the world your courage to stop ✋🏽 the craziness in using fossil fuels. ","[60, 16]"
"Take the climate emergency seriously and pull all the funding from fossil fuel projects please. We're all seeing the weather system out of balance and have little time to fix it, act now! ","[51, -3]"
"Over the past few years we’ve found it increasingly difficult to enjoy the outside world, yet we need it for every aspect of our wellbeing.  Whether it’s been severe and unseasonal weather changes, increased air pollution or increased litter, it’s now a real gamble as to whether we can enjoy anything from a moment in the garden to a walk in the countryside.  We’ve witnessed our home grown veg crops failing due to severe storms and huge, sudden extremes in temperature changes.  We’ve seen wildlife struggling to survive global warming and increased pollution.  All the signs are screaming that things are out of control.  There would be no life without the natural world and we want to protect it and restore it forevermore. ","[52, 0]"
I want to safeguard the environment for future generations. Our children and grandchildren won't have a habitable planet to call home unless we take drastic action to prevent climate change. ,"[53, -3]"
Save the planet for our children's children,"[51, -1]"
"June 2021  A freak wind storm in outer Melbourne.  The storm front sounded like lions roaring. Massive eucalypt trees crashed in neat rows, savagely ripped out by their roots.   Homes crushed under the weight of the massive trees. Our natural environment is not coping with climate change and we cannot ignore the velocity of pace in which unnatural and devastating events, such as this storm are occurring.","[-38, 145]"
"I have six young and precious grandchildren whose prospects of having a future enjoying and caring for this planet are getting more and more remote, because of industrial greed and the damage it is wreaking on our world. This new ‘god’ you worship i.e MONEY could and should be being used for good, not guaranteeing personal wealth for some at the cost of decimating our environment, but reversing that process….it’s YOUR world too, and remember you can’t eat money……","[56, -3]"
Stay awaken,"[50, 14]"
"Don't you have children? Or grandchildren? What would you say if I threatened their lives or wellbeing? Would you say, 'fair enough' or would you want me to stop? Perhaps you'd want me locked up. I wouldn't blame you, but I'm not threatening your children; you are threatening mine. Please stop it immediately, and invest your vast resources is trying to put right the damage you have contributed to continually in the full knowledge of the ecological damage, violence and genocide you are engendering. Thank you, Tom","[53, -3]"
PLEASE STOP SUPPORTING FOSSIL FUEL COMPANIES - THIS CONTINUING SUPPORT IS KILLING OUR PLANET,"[52, 0]"
"Dear Lloyds of London, I am guessing that you are aware of the Fact that there is No PLANET B!  Have you not looked out of the window recently?   Havnt you noticed that the seasons and the weather it brings isn't what it use to be, the earth has gotten warmer by the continuous use of Fossil Fuels and the draconian practice by old thinkers such as yourselves.   You may of had your time and been lucky enough to enjoy the wonders that this planet has given us (in the past).  Because of people like you,  younger generations are going to be stuck with a dying world, thanks to old timers like you.   I hope that you are proud of your contribution to Global Warming and the death and destruction of Planet A, the legacy that you have passed on to your grandchildren, if they survive that long, rest assured that they'll be extremely proud of you.   All the Money you may gain from this destruction dosnt buy a new world or replace the one that you were lucky enough to enjoy.. ","[51, -3]"
"I worry about my future, I worry about the forests where I go to relax which get chipped away by fire each year, I worry about the coral reefs disappearing in my lifetime. So many species becoming extint in my lifetime. These are worries for today. I make decisions based on these concerns everyday. I hope you will make decisions that reflect the seriousness of the times we live in. ","[38, 24]"
STOP THIS MADNESS. YOU ARE ENABLING THE DESTRUCTION OF HUMAN AND WILDLIFE IN THIS ONLY WORLD WE KNOW AND LIVE IN,"[-18, 31]"
We owe it to our children and the future of Planet Earth to STOP SUPPORTING FOSSIL FUELS!,"[53, -2]"
Stop funding fossil fuels !,"[41, -73]"
"The era when it was legitimate to dig up and explore for fossil fuels is over. Fossil fuels are destroying life on earth. If you care about ethics; if you care about your children, stop funding fossil fuels now.","[52, 0]"
Please play your part.  There is no going back from this situation and we msut do our utmost to slow this potentially devastating climate change.     ,"[52, -3]"
"The floods in Bangladesh, the famine in Africa. These can be avoided if we ALL learn o cherish our precious planet","[52, -2]"
We can see climate change affecting people now -please help us act before it's too late!,"[52, 0]"
"Lloyds, clean up your environmental policy.","[52, 0]"
No one will benefit from more extraction of fossil fuels. Stop being short-sighted. Leave the rest in the ground and invest in clean energy for the benefit of all.,"[47, -71]"
I want to save my children from climate chaos!,"[50, 11]"
"We all know how close we are to the point of no return and yet for some, the want for greed over shadows this nonsensical behaviour. If you were offered money to stand in your house whilst others set light to it, would you do that? It's ludicrous to even believe we have a choice not to act and when you carry as much control and influence as you do please make sure you use it to sustain us all for the better.","[52, 0]"
I am urging you to stop insuring mining operations because of the damage they are causing to our fragile planet and the local people living near mines. And I want to protect my children and grandchildren and great grandchildren from climate diaster. I want them to be able to continue enjoying and protecting our fantastic planet with all its wildlife intact and flourishing.,"[51, -1]"
"Please think about your children/grandchildren/nieces/nephews  What world do you want them to grow up in? They need a future without fear of lack of resources, extreme weather events, and sea level rise affecting their lives.  Please think about the future and divest from fossil fuels.  We must give David Attenborough a great legacy for the future. Please do the right thing","[53, -1]"
I love my children. I want to save them from a dying world due to climate chaos.,"[51, 0]"
" I want my children to have a future, to save them from the worst effects of climate change, and for them to be able to envision a life without danger and scarcity.","[52, -2]"
"Climate change is the most clear and present danger that our world faces, potentially destroying everything we hold dear.","[53, -2]"
Please stop insuring fossil fuel projects. Thanks for your consideration.,"[54, -2]"
"I feel annoyed indeed angry that my grandchildren will live in a world being destroyed by climate change, if indeed they can live through it. I am sure some of you will or have children or grandchildren how do you feel?","[52, 1]"
Get a grip,"[52, 0]"
"Anyone one can see that the whole world is affected by climate change - whether it is droughts, floods or freak weather events. You can do something about it, and you should.","[51, -1]"
The effects of Global Warming are causing huge damage worldwide. Will you be able to afford the insurance pay-outs that will be needed if the situation worsens over the next few years. ,"[51, 0]"
I love my children and grandchildren and I want a better  future for them.  I want them to have a world where they can live healthy and not in a dangerous environment ,"[53, -2]"
I want my sons to have the future they deserve,"[52, 0]"
"if we don't act on climate chaos immediately we will all suffer  - not in future generations but now - business, the global economy, entire countries and communities are being adversely affected, intensifying conflict and the refugee crisis. There is no moral argument to justify continuing to invest in and insure fossil fuel companies. It is also bad for business and bad for the economy. Which side of history will Lloyd's be on?","[54, -2]"
"Individuals can’t prevent climate chaos. We need corporate, political and social support to tackle this looming tragedy. Please stop any Lloyds support of climate damaging corporations.","[53, -1]"
"The younger generation will suffer terribly from climate chaos, Stop burning fossil fuels NOW.","[51, 0]"
Insurance is a key pillar of the corporate world. It is high time for Lloyd's to stop funding climate chaos and impose an insurance moratorium on all fossil fuel projects worldwide. Otherwise paradoxically Lloyd's will be continuing to profit from the ongoing disaster of humanity destroying our world including humanity itself.    Neither the koala nor the platypus nor any other species will thank Lloyd's for its extinction.,"[-34, 151]"
Please do what you can not to worsen climate change.,"[51, -1]"
You know fossil fuels are no longer sustainable for the earth. Stop profiting from destruction of the environment we all need to survive. ,"[57, -2]"
Do the right thing for the planet!,"[56, -3]"
"Please DON'T facilitate the establishment of something which will cause untold harm to the world we know, hastening the impending climate disaster that will affect all of us, our children and our grandchildren. I am scared for them. They will inherit a world very different from the one we know. No Great Barrier Reef, no koalas, no rainforests and all the myriads of species they contain. Large parts of the world have already BURNT. There will be wars for resources, millions of climate refugees, terrible poverty and disease. PLEASE help those who care, to ensure a future will exist. PLEASE DON'T INSURE ADANI 🙏","[-38, 145]"
"I have a 9-year-old daughter. I would like her to be able to grow up enjoying the world we live in, not worrying about the effects of climate change and the resulting danger to life.","[51, -1]"
Don't destroy our planet. ,"[52, -1]"
Your reputation will be forever tarnished by your support of big corporations who are destroying the world for profit. Your children as well as ours will suffer in a dying world,"[53, 1]"
"We have a home very near the ocean and would like our children to be able to enjoy it long after we have gone, but rising water levels endanger that dream.","[-34, 18]"
"The climate crisis is terrifying. There has never been a point in my life I wasn't worried for the effects we're having on our world. I worry about how the waters will rise in coming years and how notably the weather is changing.  I worry if I buy a house whether it may end up under water or being damaged by changing weather systems. We cannot wait until it gets too bad to cope with to change, it is vital we do what we can now.","[56, -3]"
"Burning coal is one of the major sources of CO2. You know this full well yet are endangering your own lives, the whole planet and everything living on it by your selfish, greedy actions. What a dreadful legacy for your children and grandchildren, who will judge you harshly.  ","[51, -3]"
"I love and cherish my grandchildren: I want to save them from climate chaos, and for them to live and enjoy the world we live in without danger and scarcity.  ","[52, -1]"
Can you see to it in your insurance casino that you tes it's in covering anything that damages this fragile planet even if it's for your offsprings future.,"[51, -2]"
Insure our climate future by not insuting coal,"[-38, 145]"
"You might not notice now but it will be too late when you actually notice that eco system on our planet is breaking down because of climate change, and coal is a huge part of this. Please stop supporting companies that produce coal for the good of humanity.","[51, 0]"
"Our children's future is more important than profit, they need a climate that we were lucky enough to be able to enjoy","[51, 0]"
Stop funding fossil fuel.,"[52, 1]"
"  e.g. In the 2020 wildfires in Australia,  children with asthma breathing has worsened, leaving the struggling to breathe and has us worried for his life and future.","[52, -1]"
Please save our planet fir your own grandchildren. It is no longer an option; it is essential!,"[46, -81]"
Stop insuring fossil fuels.,"[51, -3]"
What have my daughters have to look forward to if we don't act now to de-carbonise?  Wildfires in Australia have put the lives of some of our family members in very close danger. ,"[52, 0]"
"Please do not support this wrong action by your company- we must not continue with fossil fuels, just making the climate worse.","[51, -2]"
"I literally cannot believe you guys are still involved with coal projects. The natural world is falling apart before our eyes, we could be the last generation to carry living memory of corals and rainforests and yet you continue to engage with coal projects for short term profit. Shame, shame, shame.","[50, 9]"
"You have the power to do something right, for the future of our children.","[52, -2]"
"Reallya - money before people?  How dare/could you, speaking as a shareholder!","[52, -8]"
"Climate change is happening now; if we are to have a fighting chance of reducing the impact on the planet (and humanity), it is critical that we stop burning fossil fuels now. It will affect your families too.","[52, 0]"
"Dear Lloyds,  stop backing CO2 businesses. It is already quite challenging for me to explain what climate change is and why recycling is a must, without concomitantly inflicting 'climate anxiety' on my two kids (11 and 6).  Have a beautiful day,  Jaka Razinger, PhD  Ljubljana, Slovenia","[46, 15]"
Sort it out! You can help stop climate chaos!  ,"[53, -2]"
In 2020 wildfires in Australia exacerbated my grandsons asthma leaving him struggling to breath and not able to go to school I am very concerned for his health and his future,"[54, -3]"
By insuring the worse of the people that injure our planet you are as bad as them,"[50, -5]"
"Having lived through the fires in Australia in 2019-2020, I got a glimpse of what will be happening all over the world with the global warming. I worry that it will be too hot for the plants to regenerate causing a downward spiral. Have you ever experienced the global warming yourself or reflected on its effects???","[-34, 151]"
The 2020 Australian bushfires saw millions of our wildlife wiped out and put many species closer to extinction.  This is just one example of the current climate crisis we are in.  It is essential that we do everything we can to protect our future.,"[-34, 151]"
Please refuse to insure business activities which will make the entire planet more dangerous and less liveable for my children.,"[-27, 153]"
Stop the double standards NOW,"[52, -2]"
"Kicking The Can Down The Road  Chatwin : Martin    There's jobs a-plenty. Where?  Renewables. People care.  If only our governments saw some sense.  If only they didn't just sit on the fence,  By paying lip-service to all intents  To the Paris Agreement, and from there, hence,  To keeping oil, gas and coal business IMMENSE.  Still banking with fossil fuels at Earth’s expense.  Beholden to industry as its defence.  Where incestuous lobbying never relents.		  The problem is bigger than pounds and pence,  Or dollars and cents.    They’re kicking the can down the road.  And the Planet is taking the load.    Fracking is lacking.  So, let’s send it packing.  Mining is dirty.  So, let’s all get shirty.  Oil donkeys roam.  So, let’s send them home.  Pipelines abound.  Leave gas in the ground.  Old tech eschew.  Invest in the new.    Sun, sea and air.  Let’s show Earth we care.  Invest in it now.		  And let’s end the slough  Of despond when we think  Of our Earth on the brink  Of destruction. Our making.  We can’t just keep taking.   Pollution we shun  Instead - wave, wind and sun.    We must get it done.    And just make it stick.  Our Planet is sick.  So, let’s make it quick.    No more cans to kick.  ","[53, -1]"
"Dear Madame and Sirs,    Have you read our messages about climate crisis? Please read one more from me.    I love my pandas: I want to save them from climate chaos, and for them to live and enjoy the world as they deserve to, without danger and scarcity.      And I am 200% sure you can help me realize my goal. Please stand up for climate crisis.    ","[36, 140]"
"Dear Lloyds of London staff,    Please, please do NOT continue to support fossil fuel companies. If large institutions such as yourselves would cut their links with such companies, others would follow your good example (I for one will be cutting all my ties with those businesses who insist on such profit over the environment). We have but one planet and you are currently involved in it's environmental destruction by supporting fossil fuel companies (especially coal) in this way.     I'm sure I don't need to list the various environmental catastrophes that have happened over recent months and years - which must be costing you a great deal in insurance claims?...","[52, -2]"
Please save our eatery for future generations by acting to mitigate climate change,"[-38, 145]"
I love our planet & don`t want it to die. That`s why we need to pay more attention to climate change for the future!,"[49, 39]"
"You can finance a green energy plan, this will create jobs, there will be company's who will make the necessary equipment to support green energy so instead of financing the polluters of the world do the right thing and stop, support green energy for the sake of the planet and those who live on it.","[54, -3]"
 Keep fossil fuels in the ground and make a better future for the most vulnerable communities.,"[52, 1]"
Do the right thing,"[53, 7]"
"I love and cherish my daughter, and want her to grow up in a  world safe from climate chaos. This is OUR planet, there isn't another one.  Continuing to fund climate wrecking businesses  puts my daughter, all of us, and the planet as we know it in danger. Where is your conscience?","[54, -1]"
Looking back in time what have you achieved for the world's climate. Time to change,"[12, -69]"
Why do yo u continue to offer insurance to those who  destroy the lands of indigenous people  by there plans of using it for unenvironmentally projects like fossil fuels and such projects where ever they are. The environment is vital to all of us!,"[56, -4]"
I want to save my grandchildren from climate chaos and for them to enjoy the beautiful world,"[54, -2]"
"Smoke from the 2020 bushfires enveloped Sydney for weeks and made many people ill. It was unhealthy, and forced us to retreat indoors. We even lost our beautiful blue sky","[-34, 151]"
Stop supporting climate wrecking industries. Become responsible for our age. ,"[53, -1]"
Please please please stop investing in fossil fuels.  Climate change is happening right now and you have both the power and the responsibility to do something about it.  Take the brave step now!!!!,"[51, 0]"
"This matter is urgent. The entire human race, and the world of nature around us, need action on the climate crisis now, not in a few years. Soon it will be too late.","[50, 6]"
It’s time to stop being greedy and putting profits above all else. How can you justify to family and friends that your work is destroying the planet,"[52, -2]"
Some of us have been campaigning against the greedy abuse of our planet since the 1960s.  Isn’t it about time you changed you attitude?,"[51, -3]"
"Time to get on the right side of the climate change movement, don't you think?","[52, -4]"
"We MUST keep ALL climate-changing fossil fuels IN THE GROUND!  We MUST ELIMINATE the use of ALL fossil fuels for electrical generation and make sure ALL electrical generation comes from clean, renewable energy like solar and wind by 2030.","[43, -85]"
"I love and cherish my grandchildren: I want to save them from climate chaos, and for them to live and enjoy the world we live in without danger and scarcity.","[52, -1]"
"Dear Sir/Madam, I urgently beg you to take your responsibility and stop supporting companies that are polluting our planet and our health!! We have put our trust on big companies like yours! Do not disappoint us!  Thank you in advance.   Fred Demmenie.","[52, 5]"
"Continuing to insure destructive projects like Adani and Cambo is not just ecocide, it is genocide. We have lost so much and locked in many harmful climate impacts that are already being felt globally. No amount of money will provide you or anyone else with immunity from this, it's long past time to stop putting short-term profits ahead of a liveable future for all","[-41, 175]"
"We have to act NOW to avert climate and ecological breakdown.  I have 2 grandchildren and I cannot bear the thought of the nightmare world they will have to live in we, the responsible adults, do not take the necessary action and stop all new fossil fuel developments.  The alternatives are available, there is no excuse.","[53, 1]"
"I don’t want to die because nothing is being done about the Climate Crisis.  If the damage isn’t halted IMMEDIATELY, my whole town is predicted to be under sea water in a couple of decades.  The tipping point is NOW!!! There is no time to wait.  Not to mention famine, wars because of mass migration from unbearable temperatures, food & water shortages... the list goes on.   I’m terrified.","[56, -4]"
"Our world is dying, our future is bleak, peoe are suffering and dying across the world already because of this man made catastrophe. Too many people are looking the other way and contributing to a lethal business as usual approach. Please do not be one of them. Please have the courage to speak out in your workplace.","[52, 0]"
"By insuring the disastrous Adani mine in Australia and the TransMountain pipeline in Canada, Lloyd's is not only opening up some of the greatest untouched fossil fuel reserves on the planet, it is also wrecking the lands of vulnerable Indigenous communities.    Without insurance, these reckless schemes can't happen -- fossil fuels stay in the ground and a better future for the most vulnerable communities is possible.    Lloyd's is one of the oldest insurance businesses in the world -- and by far the worst. From the insurance of slave ships, to the insurance of climate-destroying projects that dispossess Indigenous peoples of their land, Lloyd’s literally have blood on their hands.     Please begin to atone.","[42, -88]"
I worry for the future of my children. If we continue on this trajectory of destroying our planet my children will not have a safe future.  ,"[-41, 175]"
I cherish my grandchildren and want them to grow up in a safe clean world without the dangers of climate change and loss of biodiversity. ,"[51, 0]"
"After the last two years of catastrophic bushfires here in Australia, I am frightened of the future prospects unless drastic measures are taken to control emissions through stopping fossil fuel exploration.","[-34, 151]"
"I love and cherish my children and grandchildren: I want to save them from climate chaos, and for them to live and enjoy the world we live in without danger and scarcity.  Furthermore I am serious about saving the last indigenous people and their lands.   We need these people to stay connected to our nature and past.   Greetings, Barbara","[52, 6]"
"I want my daughter and generations after her to share a planet fit for all to inhabit, share, and thrill to its beauty. Please resist sponsoring any industry that exploits fossil fuels. ","[52, -2]"
My young nieces and their generation deserve to live in a safe and healthy environment. I want to save them from climate chaos and all consequences it entails.,"[39, -9]"
"Dear Lloyd's of London Staff,  I gather that the history of Lloyd's of London's investments in climate wrecking businesses and projects is pretty dire.    Do you have the will to change now?  We are nothing without the natural world and my love for the other beings and plants we share it with knows no bounds.  Please stop helping to destroy it.  If you, and others like you, continue on this path the destruction will be catastrophic for all.","[52, 0]"
"Climate impacts are destroying our world in myriad ways ..forests, floods, fires, with consequent impacts on biodiversity, and our unique flora and fauna. ","[-32, 116]"
.Please STOP insuring ALL fossil fuel projects so as to give  our children and grandchildren the chance to live without fear their homes will be washed away. ,"[51, 0]"
My grandchildren and all young people should be able to grow up in a safe and secure world.,"[53, 0]"
The loss of species will bring the world to its knees. This situation is brought about by loss of habitat due to mining and land clearing which in turn combine to create a warming climate. Insuring coal mining etc. is giving miners licence to ruin the planet. Please stop assisting by refusing insurance to activities the actions of which add to climate change.,"[-34, 151]"
Please stop fossil fuel companies from destroying our planet by not financing them. This is very short term thinking on your behalf & not worthy of you.,"[52, -1]"
We need to stop climate chaos,"[51, 0]"
"As I write, I am reflecting on the world my daughter lives in. A world in which she felt compelled to write to her Headteacher to ask to raise money for the koalas impacted by the wildfires in Australia in 2020. I want her and her children and the generations that follow to live in a world free from the climate chaos we are seeing, where animals can be seen enjoying their natural habitats and the greed of people has not destroyed them.    kind regards,  Vicki (Daughter, wife, mother, teacher)","[51, -2]"
"We want to see you start to make a big change in favor of the Climate.We are in a climate emergency,you've had floods and we've had bushfires like never before.We evacuated 5x and were lucky we still have our home. We never  want to go thru that nightmare again> Please do something real!","[-34, 151]"
"Hi Lloyds of London members, due to recent extreme weather events (and now a whole lot more of seemingly impossible and unrelated and life threatening events) I desperately need to tell you how important renewable energy (solar panels and windmills) are. It not only saves the economy but life on this planet. I do not want my life cut short and miss out on all the good things later on such as my career, let alone having great grandchildren. Never should you invest for Adani’s coal mine again, thank you for your patience and understanding of this grave matter. Sincerely ","[-34, 151]"
"Dear staff at Lloyds of London,  Please protect future generations and people that are already  damaged by climate change and stop insuring the industries such as coal and oil that are creating  climate chaos.  Kind regards  Soccer Smith","[55, -6]"
"Life is becoming much more precarious for our grandchildren. Money should be used to sustain and improve the planet, not to damage it further.","[52, -2]"
" I want to save future generations from climate chaos, and allow them to live and enjoy the world we live in without danger and scarcity. You must have children/grandchildren of your own; do you not love them enough to protect our planet for them? What will their final days look like on a ruined planet?","[54, -2]"
"For the future of the planet, it is urgent to help in the campaign to limit the global temperature rise by not insuring carbon polluting projects. We are relying on you.","[53, -8]"
"y insuring the disastrous Adani mine in Australia and the TransMountain pipeline in Canada, Lloyd's is not only opening up some of the greatest untouched fossil fuel reserves on the planet, it is also wrecking the lands of vulnerable Indigenous communities.    Without insurance, these reckless schemes can't happen -- fossil fuels stay in the ground and a better future for the most vulnerable communities, you and me, is possible.","[51, -2]"
I want my grandchildren to cycle our local streets without wheezing and coughing in the unclean air.,"[52, -2]"
Responsibility is the key to the proper working of our society. The buck must come to a halt. ,"[41, 14]"
"We see examples of climate change all the time, extremes of temperature, wildfires, flooding and famine. Climate Chaos is happening now, you have to act to save our beautiful planet for my son and the children he will have. For my young nieces and nephews I ask you to act NOW. ","[52, -2]"
For the sake of all future generations help us have a healthy mother Earth that is worth living on!,"[51, 5]"
"Please, please please stop supposing the destruction of the planet","[53, -7]"
The future of our children is at risk. They deserve to be saved from from climate chaos. We all want a better world now and in the future.,"[55, -2]"
Wake up to the fact we are destroying our world - do something to stop fosils fuels being used.,"[54, -2]"
"Climate change is costing lives and resources we cannot afford.  If we wish to keep prospering on this planet, we must cut our fossil fuel consumption dramatically.  We have the means.  We need to have the muscle.  Please act now to ensure we have a future.","[41, -74]"
Stop insuring fossil fuel extraction. It is killing indigenous homelands.  Air pollution is killing my community - inner city Sheffield.,"[53, -2]"
"Please, I really love this planet, all her animals and wild lands. If you want your kids and grandkids to grow up in a functioning world, help reverse this.","[25, 55]"
"If ever there was a business which should have a keen eye on the future and on risk, it is insurance.  And yet you at Lloyds are betraying my family's future, and many more people's present, by your willingness to enable fossil fuel projects to go ahead.  Look your children in the eye and tell them you care about them.","[52, 0]"
Please concentrate on investing in environmentally friendly renewable energies instead  of fossil fuels.,"[53, -1]"
Please stop funding all businesses that escalate what is already climate emergency. I want my children to have future. Your funding policies contribute to the destruction of our planet and my children's welfare. It is unacceptable to me that you put profit in front of people lives and the planet,"[51, -3]"
Stop this shit now!,"[46, 6]"
Coal is so last Century - get with the saving the world programme and stop funding coal mines and coal miners. Thank you.,"[-34, 151]"
The world is being destroyed. ,"[51, -1]"
"I live in an area surrounded by enormous open cut coal mines owned by the world's biggest miners. I have lived here all my life and what used to be fresh, clean air has degenerated to the point that whenever the wind blows from the west or south-west, I can't even work in my garden without suffering from sinus pain. Add to that wildfire destruction and I just despair for our future. Please do not insure businesses that deal in fossil fuels.  It is the technology of the past. Support the new technologies of the present and future.","[-34, 151]"
Time is running out for our world. I don’t want to see the park where I walk vanish below rising sea levels. I don’t want to see endangered species die for want of food and water. The technology is available to make significant changes now - it needs to be funded. Tidal and wind and solar energy rather than oil and gas should be the investment focus. ,"[57, -3]"
"I find it disgusting in this day & age to support any sort of polluting industry ! For the sake of all mankind ,wildlife,& our fragile vegetation Please Stop ! Richard Robinson Para Vista South Australia 5093 ","[-35, 139]"
I cherish life and diversity over money and profit. It is heartbreaking to learn that so many species are becoming extinct because of our actions. There will be no banks if there is no planet...think about it..,"[53, -3]"
I believe the human race has a responsibility to nurture and care for creation for the sake of all those as yet unborn. Unless we take the climate crisis seriously and act now we will leave a world of chaos.,"[54, -3]"
Time to stop burning our planet and start loving it!,"[52, 0]"
"Lloyd's of London,  please let us keep enjoying this planet and the beautiful place it is. Please don't continue to help funding its destruction through climate change.","[51, 0]"
You have seen the evidence of the damage fossil fuel mining is doing to the climate. Do you want to risk your children's and their children's future for profit for today? One way of protecting their future is to withdraw insuring fossil fuel companies.,"[52, 0]"
